No.,Time,Source,Destination,Protocol,Length,Info,,,,,,,,,,,,,Time 2,Time 1,Delay 2,Delay 1,Jitter
392,19.56944463,192.168.1.2,192.168.1.1,TCP,66,5001  >  54384 [ACK] Seq=1 Ack=231681 Win=224768 Len=0 TSval=2680708468 TSecr=316238692,,,,,,,,,,,,,19.56948137,19.56944463,1.15E-05,3.67E-05,-2.53E-05
393,19.56948137,192.168.1.1,192.168.1.2,TCP,1514,54384  >  5001 [ACK] Seq=273673 Ack=1 Win=42496 Len=1448 TSval=316238694 TSecr=2680708468,,,,,,,,,,,,,19.56949284,19.56948137,1.96E-05,1.15E-05,8.16E-06
394,19.56949284,192.168.1.1,192.168.1.2,TCP,21786,"54384  >  5001 [PSH, ACK] Seq=275121 Ack=1 Win=42496 Len=21720 TSval=316238694 TSecr=2680708468",,,,,,,,,,,,,19.56951247,19.56949284,2.30E-05,1.96E-05,3.40E-06
395,19.56951247,192.168.1.2,192.168.1.1,TCP,66,5001  >  54384 [ACK] Seq=1 Ack=253401 Win=268288 Len=0 TSval=2680708468 TSecr=316238692,,,,,,,,,,,,,19.5695355,19.56951247,1.47E-05,2.30E-05,-8.35E-06
396,19.5695355,192.168.1.1,192.168.1.2,TCP,21786,"54384  >  5001 [PSH, ACK] Seq=296841 Ack=1 Win=42496 Len=21720 TSval=316238694 TSecr=2680708468",,,,,,,,,,,,,19.56955018,19.5695355,2.11E-05,1.47E-05,6.42E-06
397,19.56955018,192.168.1.2,192.168.1.1,TCP,66,5001  >  54384 [ACK] Seq=1 Ack=262089 Win=285696 Len=0 TSval=2680708468 TSecr=316238692,,,,,,,,,,,,,19.56957128,19.56955018,1.20E-05,2.11E-05,-9.10E-06
398,19.56957128,192.168.1.1,192.168.1.2,TCP,10202,"54384  >  5001 [PSH, ACK] Seq=318561 Ack=1 Win=42496 Len=10136 TSval=316238694 TSecr=2680708468",,,,,,,,,,,,,19.56958328,19.56957128,1.88E-05,1.20E-05,6.80E-06
399,19.56958328,192.168.1.2,192.168.1.1,TCP,66,5001  >  54384 [ACK] Seq=1 Ack=273673 Win=308736 Len=0 TSval=2680708468 TSecr=316238693,,,,,,,,,,,,,19.56960208,19.56958328,1.21E-05,1.88E-05,-6.66E-06
400,19.56960208,192.168.1.1,192.168.1.2,TCP,11650,"54384  >  5001 [PSH, ACK] Seq=328697 Ack=1 Win=42496 Len=11584 TSval=316238694 TSecr=2680708468",,,,,,,,,,,,,19.56961422,19.56960208,1.65E-05,1.21E-05,4.32E-06
401,19.56961422,192.168.1.2,192.168.1.1,TCP,66,5001  >  54384 [ACK] Seq=1 Ack=275121 Win=311808 Len=0 TSval=2680708468 TSecr=316238694,,,,,,,,,,,,,19.56963068,19.56961422,9.07E-06,1.65E-05,-7.39E-06
402,19.56963068,192.168.1.1,192.168.1.2,TCP,1514,54384  >  5001 [ACK] Seq=340281 Ack=1 Win=42496 Len=1448 TSval=316238694 TSecr=2680708468,,,,,,,,,,,,,19.56963975,19.56963068,2.66E-05,9.07E-06,1.75E-05
403,19.56963975,192.168.1.2,192.168.1.1,TCP,66,5001  >  54384 [ACK] Seq=1 Ack=296841 Win=355328 Len=0 TSval=2680708468 TSecr=316238694,,,,,,,,,,,,,19.56966634,19.56963975,9.48E-06,2.66E-05,-1.71E-05
404,19.56966634,192.168.1.1,192.168.1.2,TCP,20338,"54384  >  5001 [PSH, ACK] Seq=341729 Ack=1 Win=42496 Len=20272 TSval=316238694 TSecr=2680708468",,,,,,,,,,,,,19.56967582,19.56966634,7.49E-05,9.48E-06,6.55E-05
405,19.56967582,192.168.1.1,192.168.1.2,TCP,2962,"54384  >  5001 [PSH, ACK] Seq=362001 Ack=1 Win=42496 Len=2896 TSval=316238694 TSecr=2680708468",,,,,,,,,,,,,19.56975077,19.56967582,6.00E-05,7.49E-05,-1.50E-05
